id	0MhjKT20PF0
published	2018-02-15 01:37:52
published_unix	1518655072
title	Multiple fatalities after shooter attacks Florida school
description	18-year-old Nikolaus Cruz, a former student at Marjory Stoneman Douglas High School, is in custody; Phil Keating reports from Broward County. FOX News Channel (FNC) is a 24-hour all-encompassing news service dedicated to delivering breaking news as well as political and business news. The number one network in cable, FNC has been the most watched television news channel for more than 15 years and according to a Suffolk University/USA Today poll, is the most trusted television news source in the country. Owned by 21st Century Fox, FNC is available in more than 90 million homes and dominates the cable news landscape, routinely notching the top ten programs in the genre. Subscribe to Fox News! https://www.youtube.com/user/FoxNewsChannel Watch more Fox News Video: http://video.foxnews.com Watch Fox News Channel Live: http://www.foxnewsgo.com/ Watch full episodes of your favorite shows The Five: http://video.foxnews.com/playlist/longform-the-five/ Special Report with Bret Baier: http://video.foxnews.com/playlist/longform-special-report/ The Story with Martha Maccallum: http://video.foxnews.com/playlist/longform-the-story-with-martha-maccallum/ Tucker Carlson Tonight http://video.foxnews.com/playlist/longform-tucker-carlson-tonight/ Hannity http://video.foxnews.com/playlist/longform-hannity/ The Ingraham Angle: http://video.foxnews.com/playlist/longform-the-ingraham-angle/ Fox News @ Night: http://video.foxnews.com/playlist/longform-fox-news-night/ Follow Fox News on Facebook: https://www.facebook.com/FoxNews/ Follow Fox News on Twitter: https://twitter.com/FoxNews/ Follow Fox News on Instagram: https://www.instagram.com/foxnews/
channelId	UCXIJgqnII2ZOINSWNOGFThA
channelTitle	Fox News
duration	PT7M46S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	362383
likeCount	1628
dislikeCount	221
favoriteCount	0
commentCount	2824
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
